"","University","qs_students","qs_z","qs_ranking","qs_rank","the_students","the_z","the_ranking","the_rank","z_distance","ranking_distance","diff","pdiff","outlier"
"619","University of South Florida",39907,0.781468068043941,1122,"581-590",39779,0.895043600447597,1916,"201¡V250",-0.113575532403657,-794,128,0.00321,"not outlier"
"620","University of Southampton",21752,-0.0693324672363979,749,"77",21815,0.0986959439203469,1431,"124",-0.168028411156745,-682,-63,-0.00289,"not outlier"
"621","University of Southern California",31999,0.410874257358349,1006,"=112",42502,1.01575472651772,1949,"63",-0.604880469159372,-943,-10503,-0.28196,"outlier & student qs < the"
"622","University of Southern Queensland",11841,-0.53379317256074,361,"701-750",11841,-0.34345343963581,881,"401¡V500",-0.190339732924931,-520,0,0,"not outlier"
"623","University of Split",16144,-0.332141026963864,538,"1201+",19600,0.000504557858898464,1345,"1001¡V1200",-0.332645584822762,-807,-3456,-0.19338,"not outlier"
"624","University of St Andrews",9643,-0.636798381954637,252,"91",9500,-0.447230430502559,706,"201¡V250",-0.189567951452077,-454,143,0.01494,"not outlier"
"625","University of Stirling",9961,-0.621895899430861,273,"=471",9749,-0.436192211482559,726,"301¡V350",-0.185703687948302,-453,212,0.02151,"not outlier"
"626","University of Strathclyde",19771,-0.162168372518158,688,"302",19337,-0.0111542839172464,1336,"401¡V500",-0.151014088600911,-648,434,0.02219,"not outlier"
"627","University of Surrey",15875,-0.344747215010705,529,"=272",14455,-0.22757430502424,1053.5,"201¡V250",-0.117172909986465,-524.5,1420,0.09364,"not outlier"
"628","University of Sussex",18014,-0.244506931619648,623,"=226",17407,-0.0967115638714656,1221,"=151",-0.147795367748182,-598,607,0.03427,"not outlier"
"629","University of Szeged",19422,-0.178523612772239,677,"551-560",19108,-0.0213058989998973,1326,"801¡V1000",-0.157217713772341,-649,314,0.0163,"not outlier"
"630","University of Tartu",10498,-0.596730386489768,304,"=300",9087,-0.465538801808825,671,"251¡V300",-0.131191584680943,-367,1411,0.14409,"not outlier"
"631","University of Tasmania",13043,-0.477463663146972,416,"=303",18610,-0.0433823370398979,1302,"301¡V350",-0.434081326107074,-886,-5567,-0.35175,"outlier & student qs < the"
"632","University of Technology Sydney",24166,0.043795183117044,822,"133",26955,0.326553155819148,1620,"=143",-0.282757972702104,-798,-2789,-0.10911,"not outlier"
"633","University of Tehran",44960,1.01826757808368,1166,"521-530",43998,1.08207270103146,1961,"801¡V1000",-0.063805122947773,-795,962,0.02163,"not outlier"
"634","University of Texas at Austin",48741,1.19545715802833,1193,"67",49845,1.34127136211556,2014,"47",-0.145814204087235,-821,-1104,-0.0224,"not outlier"
"635","University of the Basque Country",36999,0.645190020310797,1093,"701-750",42869,1.03202390876808,1954,"801¡V1000",-0.386833888457286,-861,-5870,-0.14699,"not outlier"
"636","University of the Philippines",41961,0.877724983464807,1140,"399",44310,1.09590372245411,1965,"601¡V800",-0.218178738989302,-825,-2349,-0.05446,"not outlier"
"637","University of the Punjab",26525,0.154345360078009,889,"801-1000",27907,0.368755503236981,1656,"1001¡V1200",-0.214410143158972,-767,-1382,-0.05078,"not outlier"
"638","University of the Sunshine Coast",17468,-0.270094212934055,601,"1001-1200",10427,-0.406136338006414,782,"601¡V800",0.136042125072358,-181,7041,0.50482,"outlier & student qs > the"
"639","University of the West of England",25109,0.0879871360098757,851,"801-1000",23322,0.165501550599626,1501,"401¡V500",-0.0775144145897502,-650,1787,0.0738,"not outlier"
"640","University of the Western Cape",18540,-0.219856913357051,641,"1001-1200",23498,0.173303665248301,1508,"601¡V800",-0.393160578605351,-867,-4958,-0.23588,"outlier & student qs < the"
"641","University of Toronto",77710,2.55303582542222,1249,"26",75821,2.49279255594499,2079,"=18",0.0602432694772292,-830,1889,0.02461,"not outlier"
"642","University of Trento",13876,-0.438426657039094,454,"=440",13782,-0.257408527516048,1009,"351¡V400",-0.181018129523046,-555,94,0.0068,"not outlier"
"643","University of Trieste",16314,-0.32417429102348,547,"651-700",16432,-0.13993350581725,1163,"501¡V600",-0.18424078520623,-616,-118,-0.00721,"not outlier"
"644","University of Tsukuba",16431,-0.318691302170393,556.5,"=285",15853,-0.165600689803516,1131,"501¡V600",-0.153090612366877,-574.5,578,0.03581,"not outlier"
"645","University of Turin",57661,1.61347647913549,1218,"=485",57586,1.68443141606665,2046,"401¡V500",-0.0709549369311615,-828,75,0.0013,"not outlier"
"646","University of Turku",12669,-0.494990482215815,400,"=295",12851,-0.298679940799664,944,"351¡V400",-0.196310541416151,-544,-182,-0.01426,"not outlier"
"647","University of Twente",12243,-0.514954185219364,376,"=189",8981,-0.470237802676777,658,"201¡V250",-0.0447163825425867,-282,3262,0.30739,"outlier & student qs > the"
"648","University of Tyumen",11323,-0.558068285602614,342,"801-1000",10872,-0.386409400400389,821,"1201+",-0.171658885202225,-479,451,0.04064,"not outlier"
"649","University of Ulsan",12916,-0.483415283525964,410,"541-550",12872,-0.297749006665447,947,"601¡V800",-0.185666276860517,-537,44,0.00341,"not outlier"
"650","University of Utah",27299,0.190617440183048,905,"=358",30794,0.49673678159337,1750,"251¡V300",-0.306119341410322,-845,-3495,-0.12032,"not outlier"
"651","University of Vienna",45285,1.03349810267559,1168,"=151",33852,0.632298523614096,1816,"=137",0.401199579061498,-648,11433,0.28894,"outlier & student qs > the"
"652","University of Waikato",8489,-0.690878460044062,201,"=373",10617,-0.397713600601594,794,"401¡V500",-0.293164859442467,-593,-2128,-0.22276,"outlier & student qs < the"
"653","University of Warsaw",37125,0.651094777537199,1096,"308",37541,0.795832619858197,1895,"601¡V800",-0.144737842320998,-799,-416,-0.01114,"not outlier"
"654","University of Washington",43156,0.933726450810442,1151,"=85",52059,1.43941841798014,2025,"29",-0.505691967169701,-874,-8903,-0.18701,"not outlier"
