"","University","qs_students","the_students","continent","diff","pdiff","outlier"
"177","Indian Institute of Science",4161,4199,"asia",-38,-0.00909,"not outlier"
"178","Indian Institute of Technology Bhubaneswar",2101,1778,"asia",323,0.16654,"not outlier"
"179","Inha University",17753,18801,"asia",-1048,-0.05734,"not outlier"
"180","Institut Polytechnique de Paris",6104,6087,"europe",17,0.00279,"not outlier"
"181","Instituto Politecnico Nacional (IPN)",133839,120639,"latin_america",13200,0.10374,"outlier & student qs > the"
"182","Instituto Tecnologico de Buenos Aires (ITBA)",3476,3370,"latin_america",106,0.03097,"not outlier"
"183","International Christian University",3228,2941,"asia",287,0.09305,"not outlier"
"184","Iowa State University",27351,31013,"north_america",-3662,-0.12549,"not outlier"
"185","Iran University of Science and Technology",15299,15004,"asia",295,0.01947,"not outlier"
"186","Irkutsk State University",12160,13039,"europe",-879,-0.06976,"not outlier"
"187","Istanbul Technical University",23395,25640,"asia",-2245,-0.09157,"not outlier"
"188","Istanbul University",86714,84991,"asia",1723,0.02007,"not outlier"
"189","ITMO University",10814,11089,"europe",-275,-0.02511,"not outlier"
"190","Ivan Franko National University of Lviv",18793,18895,"europe",-102,-0.00541,"not outlier"
"191","Ivane Javakhishvili Tbilisi State University",20475,21081,"asia",-606,-0.02917,"not outlier"
"192","Jadavpur University",10533,12967,"asia",-2434,-0.20715,"not outlier"
"193","Jagiellonian University",33790,36354,"europe",-2564,-0.07311,"not outlier"
"194","James Cook University",8709,10794,"oceania",-2085,-0.21381,"not outlier"
"195","Jamia Millia Islamia",8722,10451,"asia",-1729,-0.18036,"not outlier"
"196","Jawaharlal Nehru University",8523,8805,"asia",-282,-0.03255,"not outlier"
"197","Jeju National University",10401,12015,"asia",-1614,-0.144,"not outlier"
"198","Jeonbuk National University",19880,20488,"asia",-608,-0.03012,"not outlier"
"199","Jilin University",68551,72804,"asia",-4253,-0.06017,"not outlier"
"200","Johns Hopkins University",15310,16552,"north_america",-1242,-0.07796,"not outlier"
"201","Jouf University",22683,22683,"asia",0,0,"not outlier"
"202","Kagoshima University",10326,10477,"asia",-151,-0.01452,"not outlier"
"203","Kanazawa University",10250,10392,"asia",-142,-0.01376,"not outlier"
"204","Kangwon National University",21745,22420,"asia",-675,-0.03057,"not outlier"
"205","Kansas State University",18659,20529,"north_america",-1870,-0.09544,"not outlier"
"206","Kasetsart University",67633,67633,"asia",0,0,"not outlier"
"207","Kaunas University of Technology",7834,9060,"europe",-1226,-0.14514,"not outlier"
"208","Kazan National Research Technological University",12709,13685,"europe",-976,-0.07396,"not outlier"
"209","Keele University",9195,9122,"europe",73,0.00797,"not outlier"
"210","Keio University",33442,34319,"asia",-877,-0.02589,"not outlier"
"211","Kent State University",23450,23092,"north_america",358,0.01538,"not outlier"
"212","Khalifa University",2944,2947,"asia",-3,-0.00102,"not outlier"
"213","Khon Kaen University",32528,35729,"asia",-3201,-0.09379,"not outlier"
"214","King Faisal University",34780,29946,"asia",4834,0.14937,"not outlier"
"215","King Khalid University",39620,39668,"asia",-48,-0.00121,"not outlier"
"216","King Saud University",36166,34952,"asia",1214,0.03414,"not outlier"
"217","Kobe University",15563,15642,"asia",-79,-0.00506,"not outlier"
"218","Koc University",6369,5521,"asia",848,0.14264,"not outlier"
"219","Konkuk University",22946,13316,"asia",9630,0.53113,"outlier & student qs > the"
"220","Kookmin University",16655,17796,"asia",-1141,-0.06624,"not outlier"
"221","Korea University",26014,22799,"asia",3215,0.13173,"not outlier"
"222","KTH Royal Institute of Technology",13359,13422,"europe",-63,-0.0047,"not outlier"
"223","KU Leuven",47880,46327,"europe",1553,0.03297,"not outlier"
"224","Kumamoto University",9785,9935,"asia",-150,-0.01521,"not outlier"
"225","Kuwait University",36458,37104,"asia",-646,-0.01756,"not outlier"
"226","Kyoto Institute of Technology",3970,3970,"asia",0,0,"not outlier"
"227","Kyoto University",22608,22299,"asia",309,0.01376,"not outlier"
"228","Kyung Hee University",23296,20599,"asia",2697,0.12288,"not outlier"
"229","Kyungpook National University",21088,19332,"asia",1756,0.08689,"not outlier"
"230","Kyushu University",18566,18608,"asia",-42,-0.00226,"not outlier"
"231","La Trobe University",24518,26097,"oceania",-1579,-0.06239,"not outlier"
"232","Lancaster University",14665,13510,"europe",1155,0.08199,"not outlier"
"233","Lappeenranta-Lahti University of Technology LUT",4086,4333,"europe",-247,-0.05868,"not outlier"
"234","Lebanese American University",7829,7425,"asia",404,0.05297,"not outlier"
"235","Lebanese University",47334,49737,"asia",-2403,-0.04951,"not outlier"
"236","Leeds Beckett University",19290,18639,"europe",651,0.03433,"not outlier"
"237","Lehigh University",6369,6400,"north_america",-31,-0.00486,"not outlier"
"238","Leibniz University Hannover",24311,21640,"europe",2671,0.11625,"not outlier"
"239","Leiden University",31702,31556,"europe",146,0.00462,"not outlier"
"240","Lincoln University",2123,2633,"oceania",-510,-0.21447,"not outlier"
"241","Linkoping University",16511,15873,"europe",638,0.0394,"not outlier"
"242","Liverpool John Moores University",21766,20662,"europe",1104,0.05204,"not outlier"
"243","Lodz University of Technology",12346,13817,"europe",-1471,-0.11245,"not outlier"
"244","Lomonosov Moscow State University",30365,29118,"europe",1247,0.04193,"not outlier"
"245","London Metropolitan University",8229,7542,"europe",687,0.08712,"not outlier"
"246","London South Bank University",13067,12144,"europe",923,0.07322,"not outlier"
"247","Loughborough University",17129,15556,"europe",1573,0.09625,"not outlier"
"248","Louisiana State University",30558,28656,"north_america",1902,0.06424,"not outlier"
"249","Lucian Blaga University of Sibiu",13154,12174,"europe",980,0.07738,"not outlier"
"250","Lund University",27443,28498,"europe",-1055,-0.03772,"not outlier"
"251","Lviv Polytechnic National University",20880,21334,"europe",-454,-0.02151,"not outlier"
"252","Maastricht University",18970,18159,"europe",811,0.04369,"not outlier"
"253","Macau University of Science and Technology",10550,11113,"asia",-563,-0.05198,"not outlier"
"254","Macquarie University",24096,30249,"oceania",-6153,-0.22644,"outlier & student qs < the"
"255","Mahidol University",28477,29160,"asia",-683,-0.0237,"not outlier"
"256","Makerere University",35307,32113,"africa",3194,0.09475,"not outlier"
"257","Mansoura University",179473,154957,"africa",24516,0.14661,"outlier & student qs > the"
"258","Marmara University",59799,70356,"asia",-10557,-0.16222,"not outlier"
"259","Marquette University",10842,10811,"north_america",31,0.00286,"not outlier"
"260","Masaryk University",29280,30485,"europe",-1205,-0.04032,"not outlier"
"261","Massey University",10811,18701,"oceania",-7890,-0.5347,"outlier & student qs < the"
"262","Maynooth University",10901,10712,"europe",189,0.01749,"not outlier"
"263","McGill University",29066,31581,"north_america",-2515,-0.08294,"not outlier"
"264","McMaster University",25577,26112,"north_america",-535,-0.0207,"not outlier"
"265","Meiji University",32810,33357,"asia",-547,-0.01653,"not outlier"
"266","Memorial University of Newfoundland",16099,15698,"north_america",401,0.02522,"not outlier"
"267","Mendel University in Brno",8456,8413,"europe",43,0.0051,"not outlier"
"268","Michigan State University",44750,45689,"north_america",-939,-0.02077,"not outlier"
"269","Middle East Technical University",18221,18346,"asia",-125,-0.00684,"not outlier"
"270","Middlesex University",16415,15645,"europe",770,0.04803,"not outlier"
"271","MIREA - Russian Technological University",26239,23455,"europe",2784,0.11205,"not outlier"
"272","Mississippi State University",19711,28074,"north_america",-8363,-0.35003,"outlier & student qs < the"
"273","Missouri University of Science and Technology",6662,8898,"north_america",-2236,-0.2874,"outlier & student qs < the"
"274","Monash University",56812,60211,"oceania",-3399,-0.05809,"not outlier"
"275","Murdoch University",12748,17261,"oceania",-4513,-0.30078,"outlier & student qs < the"
"276","Mustansiriyah University",37890,39567,"asia",-1677,-0.0433,"not outlier"
"277","Mutah University",9455,10993,"asia",-1538,-0.15043,"not outlier"
"278","Nagasaki University",8768,8877,"asia",-109,-0.01235,"not outlier"
"279","Nagoya University",15676,15564,"asia",112,0.00717,"not outlier"
"280","Nanjing University",34148,37137,"asia",-2989,-0.08386,"not outlier"
"281","Nanjing University of Aeronautics and Astronautics",30178,30713,"asia",-535,-0.01757,"not outlier"
"282","Nankai University",30568,30456,"asia",112,0.00367,"not outlier"
"283","National and Kapodistrian University of Athens",66085,64946,"europe",1139,0.01739,"not outlier"
